OG0009254	GO:0000209,GO:0008592,GO:0061630
OG0006927	GO:0005085,GO:0005851,GO:0002183,GO:0032045,GO:0003743
OG0002786	GO:0005634,GO:0005739
OG0008267	GO:0005840,GO:0070181,GO:0032543,GO:0003735,GO:0006412,GO:0005763
OG0003899	GO:0006468,GO:0005886
OG0005651	GO:0005666,GO:0006383
OG0008890	GO:0005789,GO:0019367,GO:0034626,GO:0030148,GO:0009922,GO:0034625,GO:0016020,GO:0042761
OG0006287	GO:0000978,GO:0048856,GO:0003677,GO:0006357,GO:0006355,GO:0000981
OG0007406	GO:0000978,GO:0006355,GO:0000981
OG0005307	GO:0000785,GO:0008157,GO:0072357
OG0007617	GO:0003714,GO:0000122,GO:0043486,GO:0035267,GO:0006338,GO:0000812,GO:0006281
OG0005538	GO:0008270,GO:0005634
OG0007113	GO:0061909
OG0005906	GO:0000978,GO:0006357,GO:0005654,GO:0001227
OG0005223	GO:0005737,GO:0016301,GO:0046854,GO:0005634,GO:0032958,GO:0000828
OG0007078	GO:0043666,GO:0009966,GO:0004864
OG0004405	GO:0000184
OG0000139	GO:0045893,GO:0016604,GO:0005634,GO:0006357
OG0009482	GO:0004222,GO:0033615,GO:0034982
OG0007963	GO:0090158,GO:0006888
OG0004214	GO:0006434,GO:0004828,GO:0005524,GO:0000166
OG0005684	GO:0031012,GO:0005615
OG0005495	GO:0005788,GO:0097370,GO:0097363,GO:0016757
OG0008150	GO:2000640
OG0003744	GO:0000978,GO:0006357,GO:0003700
OG0009687	GO:0035255,GO:0051705,GO:0045211,GO:0043197,GO:0030160,GO:0014069
OG0005926	GO:0004530,GO:0004525,GO:0006309,GO:0070578,GO:0090501,GO:0005737,GO:0030422,GO:0003723,GO:0005634
OG0007740	GO:0097546,GO:0005813,GO:0030990,GO:0005737,GO:0060271,GO:0097730,GO:0061512,GO:0036064
OG0003393	GO:0005747
OG0008855	GO:0042802,GO:0006046,GO:0005737,GO:0006044,GO:0004342,GO:0019262,GO:0006043
OG0008406	GO:0016513,GO:0006357,GO:0005634,GO:0043565,GO:0003713
OG0001574	GO:0000455,GO:0009982
OG0002768	GO:0000209,GO:0006974,GO:0006511,GO:0043161,GO:0061630,GO:0016607
